co_entidade,no_entidade,no_municipio,co_uf,qt_doc_bas_vinculo_concur,qt_doc_bas_vinculo_contra,doc_publicos_principais,perc_temporarios,doc_ept,tur_ept,qt_doc_bas_disc_profissiona
43019153,COL ESTADUAL WALDEMAR AMORETTY MACHADO,Bagé,43,11,25,36,0.6944444444444444,9,4,9
43034055,ESC EST ENS MED SAO FRANCISCO DE SALES,Campo Novo,43,8,18,26,0.6923076923076923,12,1,0
43051316,ESC EST TECNICA AFFONSO WOLF,Dois Irmãos,43,17,38,55,0.6909090909090909,45,16,14
43039251,ESC EST ENS MED CONEGO JOAO BATISTA SORG,Carazinho,43,14,31,45,0.6888888888888889,13,5,11
43020232,ESC EST ENS MED FARROUPILHA,Bagé,43,5,11,16,0.6875,9,1,0
43005101,ESC EST ENS MED DEPUTADO ADAO PRETTO,Piratini,43,5,11,16,0.6875,11,1,0
43078397,ESC EST ENS MED GUILHERME EXNER,Presidente Lucena,43,5,11,16,0.6875,10,1,0
43020089,ESC EST ED BAS PROFESSOR JUSTINO COSTA QUINTANA,Bagé,43,21,46,67,0.6865671641791045,37,7,0
43155375,ESC EST ENS MED REYNALDO AFFONSO AUGUSTIN,Teutônia,43,11,24,35,0.6857142857142857,27,4,0
43093884,ESC EST ED BAS PRUDENTE DE MORAIS,Osório,43,18,39,57,0.6842105263157895,10,11,10
43087701,COL ESTADUAL A J RENNER,Montenegro,43,6,13,19,0.6842105263157895,9,2,0
43068022,INST EST EDUC JOAO XXIII,Giruá,43,8,17,25,0.68,21,6,0
43013732,INST EST EDUC JULIO CESAR RIBEIRO DE SOUZA,Alvorada,43,19,40,59,0.6779661016949152,27,7,0
43029957,COL ESTADUAL RODRIGUES ALVES,Cachoeirinha,43,11,23,34,0.6764705882352942,11,7,11
43118755,INST EST EDUC MIGUEL CALMON,Salto do Jacuí,43,11,23,34,0.6764705882352942,12,10,11
43154786,ESC EST ED BAS PROFESSORA CLEIA SALETE DALBERTO,Tenente Portela,43,13,27,40,0.675,56,15,12
43162932,COL ESTADUAL DR ROBERVAL BEHEREGARAY AZEVEDO,Uruguaiana,43,15,31,46,0.6739130434782609,26,3,0
43038859,INST ESTADUAL RIACHUELO,Capão da Canoa,43,25,51,76,0.6710526315789473,44,24,24
43129307,ESC TECNICA EST PRESIDENTE GETULIO VARGAS,Santo Ângelo,43,23,46,69,0.6666666666666666,44,23,19
43117651,ESC EST ENS MED PLACIDO DE CASTRO,Rosário do Sul,43,17,34,51,0.6666666666666666,5,4,5
43085580,ESC EST ENS MED ANCHIETA,Marau,43,15,30,45,0.6666666666666666,21,3,0
43134335,INST EST EDUC SALGADO FILHO,São Francisco de Assis,43,15,30,45,0.6666666666666666,33,6,0
43105769,ESC EST ENS MED AGRONOMO PEDRO PEREIRA,Porto Alegre,43,14,28,42,0.6666666666666666,17,2,0
43039146,ESC EST ENS MED PRESIDENTE CASTELO BRANCO,Capão do Leão,43,12,24,36,0.6666666666666666,26,6,0
43055230,INST EST EDUC GOMERCINDA DORNELLES FONTOURA,Encruzilhada do Sul,43,12,24,36,0.6666666666666666,26,8,0
43057160,ESC EST ED BAS DR SIDNEY GUERRA,Erechim,43,12,24,36,0.6666666666666666,12,2,0
43143873,ESC EST ED BAS TITO FERRARI,São Pedro do Sul,43,12,24,36,0.6666666666666666,15,1,0
43024718,COL ESTADUAL FREI GETULIO,Bom Jesus,43,11,22,33,0.6666666666666666,15,4,0
43066348,INST EST EDUC VASCONCELOS JARDIM,General Câmara,43,11,22,33,0.6666666666666666,18,4,0
43094066,ESC EST ENS MED ALBATROZ,Osório,43,11,22,33,0.6666666666666666,21,4,0
43105190,COL ESTADUAL DOM JOAO BECKER,Porto Alegre,43,10,20,30,0.6666666666666666,13,7,13
43169376,ESC TECNICA EST DR RUBENS DA ROSA GUEDES,Caçapava do Sul,43,9,18,27,0.6666666666666666,23,8,6
43148379,ESC EST ENS MED ADAO SEGER,Selbach,43,9,18,27,0.6666666666666666,15,2,0
43079350,ESC EST ENS MED HERMES PINTOS AFFONSO,Jaguarão,43,8,16,24,0.6666666666666666,15,2,0
43130801,INST EST EDUC SANTO ANTONIO,Santo Antônio da Patrulha,43,8,16,24,0.6666666666666666,16,6,0
43166814,ESC EST ED BAS VIADUTOS,Viadutos,43,8,16,24,0.6666666666666666,12,4,0
43107125,ESC EST ENS MED PROFESSOR SARMENTO LEITE,Porto Alegre,43,7,14,21,0.6666666666666666,12,1,0
43048455,ESC EST ENS MED PROFESSOR JACINTHO SILVA,Cotiporã,43,2,4,6,0.6666666666666666,6,1,0
43029337,COL ESTADUAL DIVA COSTA FACHIN,Cachoeira do Sul,43,14,27,41,0.6585365853658537,6,4,6
43074200,ESC TECNICA EST 25 DE JULHO,Ijuí,43,33,63,96,0.65625,43,69,43
43118135,INST EST EDUC DEPUTADO RUY RAMOS,Rosário do Sul,43,11,21,32,0.65625,20,9,0
43046126,ESC EST ENS MED DIOGO PENHA,Balneário Pinhal,43,10,19,29,0.6551724137931034,11,3,0
43064434,ESC EST TECNICA JOSE CANELLAS,Frederico Westphalen,43,19,36,55,0.6545454545454545,28,13,23
43098380,ESC EST ENS MED ERNESTO TOCCHETTO,Passo Fundo,43,18,34,52,0.6538461538461539,21,2,0
43111564,INST EST EDUC PROFESSOR DIEHL,Quaraí,43,17,32,49,0.6530612244897959,15,5,0
43171133,ESC EST ENS MED EMBAIXADOR JOAO BAPTISTA LUSARDO,Uruguaiana,43,16,30,46,0.6521739130434783,18,2,0
43038662,ESC EST ENS MED PROF MARGOT TEREZINHA NOAL GIACOMAZZI,Canoas,43,15,28,43,0.6511627906976745,12,1,0
43019030,ESC EST ENS MED FREI PLACIDO,Bagé,43,14,26,40,0.65,22,5,8
43171389,ESC EST ENS MED SENADOR ALBERTO PASQUALINI,Santo Augusto,43,11,20,31,0.6451612903225806,9,5,9
43012299,ESC EST ENS MED DEMETRIO RIBEIRO,Alegrete,43,21,38,59,0.6440677966101694,23,4,0
43010628,ESC EST ED BAS DOM ERICO FERRARI,Agudo,43,5,9,14,0.6428571428571429,4,1,4
43169406,E E EDUC PROFIS DE CARAZINHO,Carazinho,43,9,16,25,0.64,25,13,0
43028268,ESC EST ED BAS BORGES DE MEDEIROS,Cachoeira do Sul,43,17,30,47,0.6382978723404256,21,7,9
43038875,ESC EST ENS MED CAPAO NOVO,Capão da Canoa,43,21,37,58,0.6379310344827587,10,1,0
43022235,INST EST EDUC CASTRO ALVES,Barros Cassal,43,12,21,33,0.6363636363636364,14,3,0
43105572,ESC EST NORMAL 1 DE MAIO,Porto Alegre,43,12,21,33,0.6363636363636364,23,9,0
43167403,ESC EST ENS MED SETEMBRINA,Viamão,43,19,33,52,0.6346153846153846,28,4,0
43052797,INST EST EDUC BERNARDINO ANGELO,Dom Pedrito,43,11,19,30,0.6333333333333333,9,4,0
43098860,COL ESTADUAL JOAQUIM FAGUNDES DOS REIS,Passo Fundo,43,21,36,57,0.631578947368421,32,10,4
43150721,ESC EST ENS MED JULIA LOPES DE ALMEIDA,Soledade,43,7,12,19,0.631578947368421,16,3,0
